,Natural,SQL
0,List all the papers IDs,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID;
1,List all the authors IDs,SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID;
2,List all the papers which are written by author of authorID 'A-8626'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='A-8626';
3,What are the papers written by 'A-2966'?,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='A-2966';
4,How many papers are written by Author ID 'A-15059'?,SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='A-15059';
5,List all the authors who contributed to paper 'W14-3405',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'W14-3405';
6,How many authors contributed to paper 'W07-1210',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'W07-1210';
7,List all the authors for 'S13-1020',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'S13-1020';
8,What is the number of Authors of Paper ID 'S14-2110',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'S14-2110';
9,List all the papers with FieldID 'F-12',SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='F-12';
10,What are the papers associated with FieldID 'F-12' ?,SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='F-12';
11,Count all the papers associated with FieldID 'F-3'.,SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='F-3';
12,List all the Field IDs.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID;
13,List all the Field IDs associated with paperID 'J79-1003'.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='J79-1003';
14,What are the Fields associated with paperID 'C04-1048'?,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='C04-1048';
15,Count the number of Fields associated with paperID 'W06-2111',SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='W06-2111';
16,List all the summaries of all the papers ,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary;
17,what is the summary of paper with paperID 'W11-1015' ?,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='W11-1015';
18,Print summary of paper ID 'N12-1017',SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='N12-1017';
19,List titles of all the papers,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title;
20,What is title of the paper with PaperID 'D10-1056'?,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title WHERE PaperID_Title.PaperID='D10-1056';
21,What is Paper ID of the paper with title '&#x201C;Hello Emily How Are You Today?&#x201D; - Personalised Dialogue in a Toy to Engage Children.'?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title='&#x201C;Hello Emily How Are You Today?&#x201D; - Personalised Dialogue in a Toy to Engage Children.';
22,List all authids with AF-1625,SELECT DISTINCT AuthID_AffiliationID.AuthID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='AF-1625';
23,Count all authids with AF-696,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='AF-696';
24,Give the affiliation ID of 'A-5959' ,SELECT DISTINCT AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AuthID='A-5959';
25,Give the list of author IDs in the field with the ID 'F-10',SELECT DISTINCT AuthID_FieldID.AuthID FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='F-10';
26,Give number of authorids in field with 'F-13',SELECT DISTINCT COUNT(*) FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='F-13';
27,What is the Name of the Author with ID 'A-8202' ?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='A-8202';
28,Name the author whose ID is 'A-18450',SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='A-18450';
29,"What is the ID of the Author whose name is 'Tompa, Frank' ?","SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='Tompa, Frank';"
30,"List the Authors whose name begin with 'Wilson, Terry'^ ?","SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='Wilson, Terry'^';"
31,How many number of papers have been published in the conference 'C-342'?,SELECT DISTINCT COUNT(*) FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='C-342';
32,What is the Conference ID of the conference in which paper of the id 'C96-1036' was published?,SELECT DISTINCT ConfID_PaperID.ConfID FROM ConfID_PaperID WHERE ConfID_PaperID.PaperID='C96-1036';
33,List the paper ID of the all the paper which in the conference with ID 'C-322',SELECT DISTINCT ConfID_PaperID.PaperID FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='C-322
34,How many number of conference have been conducted in the field 'F-7'?,SELECT DISTINCT COUNT(*) FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='F-7';
