0,1,2
267,What is the number of Authors of D14-1136,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'D14-1136' 
149,List all the authors who contributed to paper W97-1014,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W97-1014' 
386,What are the Fields associated with paperID W09-0428?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W09-0428'
774,What is the name of affiliate with AF-164 and where it is located,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-164'"
1210,How many author have name which contains with Gam ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Gam%';
1340,List the paper ID of the all the paper which in the conference with ID C-535,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-535
310,What are the papers associated with FieldID F-10 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-10' 
193,How many authors contributed to paper E12-1052,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'E12-1052' 
313,Count all the papers associated with FieldID F-5.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-5' 
615,List all the Paper IDs of the paper with title starting with From indexing the biomed?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'From indexing the biomed%'
63,What are the papers written by A-16853?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16853'
862,Count all authids with AF-1576,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1576'
1747,Which papers have the keyword ID as K-3656?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-3656;
1091,List the Authors whose name begin with Gr ?,SELECT AuthID FROM AuthID_Name WHERE Name='Gr';
720,List all the affliates that contain Austrian,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Austrian%'"
1513,How many total conferences have been held at Workshop On Enhancing And Using Electronic Dictionaries?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On Enhancing And Using Electronic Dictionaries;
1511,How many total conferences have been held at Workshop On TIPSTER Text Program?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On TIPSTER Text Program;
962,What is the Name of the Author with ID A-10578 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-10578';
488,Print summary of paper P95-1010,SELECT Summary from PaperID_Summary WHERE PaperID = 'P95-1010' 
1364,How many number of papers have been published with the ID that starts with D14?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'D14%' ;
219,List all the authors for S13-2014,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S13-2014' 
593,What is Paper ID of the paper with title Structured Ramp Loss Minimization for Machine Translation?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Structured Ramp Loss Minimization for Machine Translation'
287,What is the number of Authors of W98-0714,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W98-0714' 
1434,What is the Field ID in which the conference with ID C-403 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-403' ;
1366,How many number of papers have been published with the ID that starts with P0?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'P0%' ;
413,Count the numberFields associated with paperID W12-3159,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W12-3159'
366,What are the Fields associated with paperID W07-1803?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W07-1803'
559,What is title of the paper with PaperID P89-1001?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P89-1001'
486,Print summary of paper P12-1089,SELECT Summary from PaperID_Summary WHERE PaperID = 'P12-1089' 
1212,How many author have name which contains with Wa ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Wa%';
1396,How many number of papers have been published with the ID that starts with C14-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'C14-10%' ;
1224,How many author have name which contains with Pa ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Pa%';
1352,List the paper ID of the all the paper which in the conference with ID C-117,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-117
784,What is the name of affiliate with AF-1749 and where it is located,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1749'"
1057,"What is the ID of the Author whose name is Xu, Ping ?","SELECT AuthID FROM AuthID_Name WHERE Name='Xu, Ping';"
1251,How many number of papers have been published in the conference C-483?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-483' ;
1016,Name the author whose ID is A-9092,SELECT Name FROM AuthID_Name WHERE AuthID='A-9092';
1665,Which conference was held at Coling 2008: Proceedings of the workshop on Human Judgements in Computational Linguistics and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Coling 2008: Proceedings of the workshop on Human Judgements in Computational Linguistics AND Year=Year;
1139,"What are the IDs of the Authors whose name begin with Yao, Tian ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Yao, Tian%';"
