AuthID,AffiliationID
A-123,AF-0
A-123,AF-1
A-4782,AF-1
A-12188,AF-1
A-15241,AF-1
A-2584,AF-1
A-15023,AF-1
A-4529,AF-1
A-18072,AF-1
A-5037,AF-1
A-4137,AF-1
A-10503,AF-1
A-7838,AF-1
A-17352,AF-1
A-715,AF-1
A-5303,AF-1
A-1723,AF-1
A-11636,AF-1
A-8702,AF-1
A-14713,AF-1
A-2268,AF-1
A-1399,AF-1
A-11146,AF-2
A-6960,AF-2
A-4085,AF-2
A-574,AF-2
A-4078,AF-2
A-16695,AF-2
A-15585,AF-2
A-14871,AF-2
A-11129,AF-3
A-11129,AF-4
A-5667,AF-4
A-1748,AF-4
A-4762,AF-4
A-8714,AF-4
A-14622,AF-4
A-13111,AF-4
A-11615,AF-4
A-2222,AF-4
A-13966,AF-4
A-5268,AF-4
A-4592,AF-4
A-17959,AF-4
A-13907,AF-4
A-6704,AF-4
A-17470,AF-4
A-4280,AF-4
A-3120,AF-4
A-4147,AF-4
A-15568,AF-4
A-18330,AF-5
A-2469,AF-5
A-11110,AF-5
A-120,AF-5
A-6958,AF-5
A-14704,AF-5
A-4135,AF-5
A-17632,AF-5
A-11000,AF-5
A-18666,AF-5
A-10819,AF-5
A-5400,AF-5
A-6476,AF-5
A-14437,AF-5
A-2583,AF-5
A-13576,AF-5
A-12287,AF-5
A-11237,AF-5
A-18323,AF-5
A-10090,AF-5
A-6579,AF-5
A-3916,AF-5
A-17132,AF-5
A-10853,AF-5
A-2197,AF-5
A-6132,AF-5
A-4380,AF-5
A-18650,AF-5
A-277,AF-5
A-3971,AF-5
A-12153,AF-5
A-15751,AF-5
A-5241,AF-5
A-9860,AF-5
A-11504,AF-5
A-6780,AF-5
A-10068,AF-5
A-12911,AF-5
A-6911,AF-5
A-685,AF-5
A-17623,AF-5
A-265,AF-5
A-2678,AF-5
A-13087,AF-5
A-13630,AF-5
A-8996,AF-5
A-7104,AF-5
A-9842,AF-5
A-641,AF-5
A-6642,AF-5
A-15378,AF-5
A-17182,AF-5
A-6082,AF-5
A-3636,AF-5
A-3260,AF-5
A-9115,AF-5
A-10319,AF-5
A-17306,AF-5
A-6887,AF-5
A-14411,AF-5
A-597,AF-5
A-6631,AF-5
A-2628,AF-5
A-4713,AF-5
A-5231,AF-5
A-15137,AF-5
A-7359,AF-5
A-1483,AF-5
A-710,AF-5
A-5979,AF-5
A-9564,AF-5
A-2866,AF-5
A-4111,AF-5
A-1864,AF-5
A-16360,AF-5
A-18258,AF-5
A-10847,AF-5
A-7103,AF-5
A-2139,AF-5
A-16202,AF-5
A-12032,AF-5
A-10013,AF-5
A-16833,AF-5
A-18432,AF-5
A-14147,AF-5
A-9168,AF-6
A-16298,AF-6
A-18738,AF-6
A-15348,AF-6
A-6140,AF-6
A-18265,AF-6
A-8618,AF-6
A-2521,AF-6
A-1028,AF-6
A-16421,AF-6
A-6408,AF-6
A-18663,AF-6
A-6409,AF-6
A-14396,AF-6
A-9343,AF-6
A-3035,AF-6
A-755,AF-6
A-10933,AF-6
A-13521,AF-6
A-11699,AF-6
A-12805,AF-6
A-15837,AF-6
A-17407,AF-6
A-1955,AF-6
A-8975,AF-6
A-8204,AF-6
A-512,AF-6
A-8531,AF-6
A-8051,AF-6
A-15828,AF-6
A-4016,AF-6
A-8778,AF-6
A-12728,AF-6
A-4940,AF-6
A-4760,AF-6
A-18356,AF-6
A-14394,AF-6
A-8794,AF-6
A-2255,AF-6
A-13562,AF-6
A-1819,AF-6
A-10676,AF-6
A-5218,AF-6
A-4930,AF-6
A-10283,AF-6
A-10622,AF-6
A-15542,AF-6
A-10601,AF-6
A-10181,AF-6
A-6931,AF-6
A-12599,AF-6
A-16391,AF-6
A-17615,AF-6
A-3847,AF-6
A-18123,AF-6
A-16018,AF-6
A-18021,AF-6
A-11991,AF-6
A-961,AF-7
A-2114,AF-7
A-1119,AF-7
A-676,AF-7
A-17009,AF-7
A-5298,AF-7
A-13012,AF-7
A-1083,AF-7
A-17411,AF-7
A-5524,AF-7
A-16221,AF-7
A-8353,AF-7
A-3832,AF-7
A-2836,AF-7
A-10228,AF-7
A-10499,AF-7
A-6795,AF-7
A-13965,AF-7
A-8195,AF-7
A-12411,AF-7
A-7571,AF-7
A-17081,AF-7
A-12764,AF-7
A-13466,AF-7
A-6923,AF-7
A-3607,AF-7
A-4916,AF-7
A-3184,AF-7
A-13573,AF-7
A-12845,AF-7
A-18320,AF-7
A-8981,AF-7
A-13770,AF-7
A-18002,AF-7
A-3691,AF-7
A-14483,AF-7
A-9202,AF-7
A-1935,AF-7
A-11503,AF-7
A-16601,AF-7
A-3857,AF-7
A-6936,AF-7
A-17483,AF-7
A-1847,AF-7
A-14286,AF-7
A-6192,AF-7
A-9081,AF-7
A-8502,AF-7
A-10247,AF-7
A-516,AF-7
A-8722,AF-7
A-9746,AF-7
A-8446,AF-7
A-12092,AF-7
A-9535,AF-7
A-7102,AF-7
A-10541,AF-7
A-15269,AF-7
A-10337,AF-7
A-18575,AF-7
A-2837,AF-7
A-12463,AF-7
A-2700,AF-7
A-13778,AF-8
A-6683,AF-8
A-11552,AF-8
A-16012,AF-8
A-9147,AF-8
A-10594,AF-8
A-15342,AF-8
A-10399,AF-8
A-5230,AF-8
A-14998,AF-8
A-11164,AF-8
A-9567,AF-8
A-740,AF-8
A-7077,AF-8
A-14864,AF-8
A-6643,AF-8
A-10591,AF-8
A-2801,AF-8
A-1235,AF-8
A-7069,AF-8
A-10502,AF-8
A-3303,AF-8
A-1134,AF-8
A-5995,AF-8
A-2405,AF-8
A-5048,AF-8
A-14619,AF-8
A-13484,AF-8
A-17592,AF-8
A-10256,AF-8
A-12840,AF-8
A-1265,AF-8
A-754,AF-8
A-4462,AF-8
A-1384,AF-8
A-15100,AF-8
A-10094,AF-8
A-5213,AF-8
A-11522,AF-8
A-13084,AF-8
A-13950,AF-8
A-15916,AF-8
A-10874,AF-8
A-8066,AF-8
A-11836,AF-8
A-15243,AF-8
A-6124,AF-8
A-10976,AF-8
A-2117,AF-8
A-8810,AF-8
A-16535,AF-8
A-9105,AF-8
A-17077,AF-8
A-10661,AF-8
A-8815,AF-8
A-1617,AF-8
A-13756,AF-8
A-3865,AF-8
A-14338,AF-8
A-9810,AF-8
A-7703,AF-8
A-3060,AF-8
A-13829,AF-8
A-4900,AF-8
A-13847,AF-8
A-8230,AF-8
A-7253,AF-8
A-10730,AF-8
A-3773,AF-8
A-10408,AF-8
A-1945,AF-8
A-10139,AF-8
A-12042,AF-8
A-11006,AF-8
A-5443,AF-8
A-9394,AF-8
A-13691,AF-8
A-18063,AF-8
A-9766,AF-8
A-15505,AF-8
A-18116,AF-8
A-1599,AF-8
A-8215,AF-8
A-1351,AF-8
A-8408,AF-8
A-6,AF-8
A-10932,AF-8
A-5882,AF-8
A-18682,AF-8
A-16921,AF-9
A-15911,AF-9
A-10930,AF-9
A-18640,AF-9
A-3330,AF-9
A-10652,AF-9
A-12806,AF-9
A-15554,AF-9
A-18303,AF-9
A-3443,AF-9
A-17149,AF-9
A-6356,AF-9
A-3027,AF-9
A-13183,AF-9
A-8786,AF-9
A-16669,AF-9
A-17523,AF-9
A-2096,AF-9
A-8847,AF-9
A-11877,AF-9
A-14026,AF-9
A-15266,AF-9
A-15098,AF-9
A-2532,AF-9
A-2800,AF-9
A-4732,AF-9
A-7360,AF-9
A-7556,AF-9
A-5895,AF-9
A-15782,AF-9
A-8463,AF-9
A-3150,AF-9
A-4980,AF-9
A-16921,AF-10
A-4558,AF-10
A-5698,AF-10
A-3047,AF-10
A-9491,AF-10
A-6003,AF-10
A-1779,AF-10
A-487,AF-10
A-18745,AF-10
A-7553,AF-10
A-7384,AF-10
A-11541,AF-10
A-3461,AF-10
A-18669,AF-10
A-680,AF-10
A-12343,AF-10
A-6710,AF-10
A-14307,AF-10
A-3284,AF-10
A-758,AF-10
A-7347,AF-10
A-2033,AF-10
A-6998,AF-10
A-6747,AF-10
A-12388,AF-10
A-16918,AF-10
A-11689,AF-10
A-10514,AF-11
A-7030,AF-11
A-13251,AF-11
A-9848,AF-11
A-11864,AF-11
A-11086,AF-11
A-15601,AF-11
A-7802,AF-11
A-17345,AF-11
A-11748,AF-11
A-12577,AF-11
A-8509,AF-11
A-13437,AF-11
A-6507,AF-11
A-16923,AF-11
A-6297,AF-11
A-4692,AF-11
A-8682,AF-12
A-3938,AF-12
A-4780,AF-12
A-6010,AF-12
A-2045,AF-12
A-3130,AF-12
A-14120,AF-12
A-11153,AF-12
A-14650,AF-12
A-8520,AF-12
A-3718,AF-12
A-15139,AF-12
A-10679,AF-12
A-12479,AF-12
A-18674,AF-12
A-14917,AF-12
A-13298,AF-12
A-6180,AF-12
A-16638,AF-12
A-16767,AF-12
A-4944,AF-12
A-18168,AF-12
A-9422,AF-12
A-8751,AF-12
A-4128,AF-12
A-2593,AF-12
A-11894,AF-12
A-3683,AF-12
A-15604,AF-12
A-2430,AF-12
A-11221,AF-12
A-9445,AF-12
A-3422,AF-12
A-8950,AF-12
A-4614,AF-12
A-11173,AF-12
A-3403,AF-12
A-5462,AF-12
A-8799,AF-12
A-16494,AF-12
A-4805,AF-12
A-8909,AF-12
A-3616,AF-12
A-10945,AF-12
A-7688,AF-12
A-14800,AF-12
A-16381,AF-12
A-12835,AF-12
A-18336,AF-12
A-13146,AF-12
A-4286,AF-12
A-18031,AF-12
A-17559,AF-12
A-10210,AF-12
A-11872,AF-12
A-3775,AF-12
A-7364,AF-12
A-4959,AF-12
A-10604,AF-12
A-10746,AF-12
A-10154,AF-13
A-7367,AF-13
A-2588,AF-13
A-18757,AF-13
A-11327,AF-13
A-10737,AF-13
A-2384,AF-13
A-12583,AF-13
A-1577,AF-13
A-3101,AF-13
A-5239,AF-13
A-17236,AF-13
A-4917,AF-13
A-6446,AF-13
A-7171,AF-14
A-5216,AF-14
A-14443,AF-14
A-18419,AF-14
A-17277,AF-14
A-8797,AF-14
A-11466,AF-14
A-3752,AF-14
A-1820,AF-14
A-1037,AF-14
A-4974,AF-14
A-11531,AF-14
A-8238,AF-14
A-11469,AF-14
A-15721,AF-14
A-14947,AF-14
A-5490,AF-14
A-17389,AF-15
A-8647,AF-15
A-17753,AF-15
A-14916,AF-15
A-10462,AF-15
A-14440,AF-15
A-10535,AF-15
A-6449,AF-15
A-11946,AF-15
A-4138,AF-15
A-18178,AF-15
A-4017,AF-15
A-5725,AF-16
A-3508,AF-16
A-2024,AF-16
A-8452,AF-16
A-15032,AF-16
A-10372,AF-16
A-523,AF-16
A-11375,AF-16
A-3174,AF-16
A-12505,AF-16
A-15511,AF-16
A-17110,AF-17
A-3155,AF-17
A-9643,AF-17
A-4267,AF-17
A-14679,AF-17
A-13154,AF-17
A-13239,AF-17
A-15693,AF-17
A-738,AF-17
A-11826,AF-17
A-16389,AF-18
A-14180,AF-18
A-10756,AF-19
A-12293,AF-19
A-6793,AF-19
A-15103,AF-20
A-18630,AF-20
A-13066,AF-20
A-16916,AF-20
A-6948,AF-20
A-17064,AF-20
A-10376,AF-20
A-12039,AF-20
A-7170,AF-20
A-1606,AF-20
A-14253,AF-20
A-4298,AF-20
A-873,AF-20
A-6581,AF-20
A-13676,AF-20
A-12575,AF-20
A-3845,AF-20
A-7929,AF-20
A-15780,AF-20
A-12971,AF-20
A-18751,AF-20
A-11749,AF-20
A-3098,AF-20
A-8806,AF-20
A-5818,AF-20
A-13768,AF-20
A-17304,AF-20
A-13600,AF-20
A-4612,AF-20
A-5007,AF-20
A-1038,AF-20
A-10817,AF-20
A-6401,AF-20
A-4193,AF-20
A-2735,AF-20
A-8105,AF-20
A-2397,AF-20
A-18794,AF-20
A-69,AF-20
A-12720,AF-20
A-1910,AF-20
A-13597,AF-20
A-9000,AF-20
A-12108,AF-20
A-14366,AF-20
A-15680,AF-20
A-17168,AF-20
A-16807,AF-20
A-14209,AF-20
A-15299,AF-20
A-14315,AF-20
A-15399,AF-20
A-11472,AF-20
A-14733,AF-20
A-2288,AF-20
A-1294,AF-20
A-12063,AF-20
A-1949,AF-20
A-1422,AF-20
A-4784,AF-20
A-12144,AF-20
A-185,AF-20
A-8170,AF-20
A-3464,AF-20
A-4522,AF-20
A-15356,AF-20
A-16811,AF-20
A-15766,AF-20
A-3889,AF-20
A-1113,AF-21
A-1423,AF-22
A-17103,AF-22
A-5221,AF-22
A-10576,AF-22
A-7623,AF-22
A-1524,AF-22
A-13431,AF-22
A-4306,AF-22
A-16998,AF-22
A-1470,AF-22
A-9919,AF-22
A-12164,AF-22
A-7135,AF-22
A-3190,AF-22
A-9934,AF-22
A-8745,AF-22
A-4484,AF-22
A-6864,AF-22
A-750,AF-22
A-6227,AF-22
A-7729,AF-22
A-1859,AF-22
A-5068,AF-22
A-1862,AF-22
A-5897,AF-22
A-18317,AF-22
A-15548,AF-22
A-15540,AF-22
A-18780,AF-23
A-9536,AF-23
A-13955,AF-23
A-8391,AF-23
A-3006,AF-23
A-3559,AF-23
A-1971,AF-23
A-4744,AF-23
A-9123,AF-23
A-12293,AF-23
A-7052,AF-23
A-2212,AF-23
A-6793,AF-23
A-2426,AF-23
A-7256,AF-23
A-11232,AF-23
A-4302,AF-23
A-6325,AF-23
A-16504,AF-23
A-15987,AF-23
A-2625,AF-23
A-15490,AF-23
A-17872,AF-23
A-10158,AF-23
A-3584,AF-23
A-18567,AF-24
A-4046,AF-24
A-8730,AF-24
A-2013,AF-24
A-18383,AF-24
A-9357,AF-24
A-14894,AF-24
A-1518,AF-24
A-16517,AF-24
A-16664,AF-24
A-8573,AF-24
A-16458,AF-24
A-13509,AF-24
A-17990,AF-24
A-90,AF-24
A-150,AF-24
A-11648,AF-24
A-17324,AF-24
A-6877,AF-24
A-14553,AF-24
A-695,AF-24
A-18164,AF-24
A-5103,AF-24
A-17954,AF-24
A-9411,AF-24
A-5089,AF-24
A-7485,AF-24
A-5351,AF-24
A-12963,AF-24
A-2204,AF-24
A-11090,AF-24
A-2035,AF-24
A-3447,AF-24
A-11048,AF-24
A-2861,AF-24
A-16843,AF-24
A-16610,AF-24
A-17417,AF-25
A-16709,AF-26
A-5211,AF-26
A-5081,AF-26
A-7469,AF-26
A-8310,AF-26
A-17086,AF-26
A-6912,AF-26
A-17957,AF-26
A-15709,AF-26
A-1675,AF-26
A-1129,AF-26
A-4052,AF-26
A-10294,AF-26
A-11853,AF-26
A-6685,AF-26
A-12034,AF-26
A-6418,AF-26
A-1149,AF-26
A-14872,AF-26
A-12023,AF-26
A-11144,AF-26
A-12779,AF-26
A-5733,AF-26
A-12743,AF-26
A-2418,AF-26
A-10637,AF-26
A-18462,AF-26
A-11053,AF-26
A-18193,AF-26
A-3569,AF-26
A-10578,AF-26
A-10697,AF-26
A-6779,AF-26
A-8666,AF-26
A-18538,AF-26
A-13946,AF-26
A-12978,AF-26
A-17579,AF-26
A-9096,AF-26
A-17821,AF-26
A-1305,AF-26
A-2081,AF-26
A-6073,AF-26
A-7190,AF-26
A-12560,AF-26
A-12445,AF-26
A-3722,AF-26
A-6115,AF-26
A-496,AF-26
A-2472,AF-26
A-18424,AF-26
A-9898,AF-26
A-876,AF-26
A-18686,AF-26
A-3862,AF-26
A-6131,AF-26
A-6554,AF-26
A-12101,AF-26
A-3349,AF-26
A-6815,AF-26
A-14142,AF-26
A-3892,AF-26
A-16283,AF-26
A-9728,AF-26
A-4000,AF-26
A-5737,AF-26
A-12341,AF-26
A-15299,AF-26
A-4998,AF-26
A-9184,AF-26
A-15238,AF-26
A-11178,AF-26
A-14803,AF-26
A-9431,AF-26
A-154,AF-26
A-3835,AF-26
A-10570,AF-26
A-12972,AF-26
A-6677,AF-26
A-13200,AF-26
A-3341,AF-26
A-8260,AF-26
A-12385,AF-26
A-1768,AF-26
A-17927,AF-26
A-7456,AF-26
A-9559,AF-26
A-15940,AF-26
A-9278,AF-26
A-8626,AF-26
A-16017,AF-26
A-3115,AF-26
A-2931,AF-26
A-12646,AF-26
A-1809,AF-26
A-1467,AF-26
A-8833,AF-26
A-14764,AF-26
A-10537,AF-26
A-3716,AF-26
A-9274,AF-26
A-12511,AF-26
A-15528,AF-26
A-8620,AF-26
A-12391,AF-26
A-15917,AF-26
A-12259,AF-26
A-5941,AF-26
A-153,AF-26
A-1912,AF-26
A-18283,AF-26
A-1699,AF-26
A-2390,AF-27
A-49,AF-27
A-10500,AF-27
A-5052,AF-27
A-13721,AF-27
A-1242,AF-27
A-2354,AF-27
A-934,AF-27
A-6866,AF-27
A-9793,AF-27
A-6872,AF-27
A-2231,AF-27
A-8789,AF-27
A-11059,AF-27
A-2179,AF-27
A-16482,AF-28
A-16482,AF-29
A-6893,AF-30
A-8239,AF-30
A-14088,AF-30
A-17981,AF-30
A-17767,AF-30
A-8383,AF-30
A-16099,AF-30
A-16316,AF-30
A-11951,AF-30
A-9054,AF-30
A-6083,AF-30
A-11286,AF-30
A-10447,AF-31
A-12277,AF-31
A-18069,AF-31
A-5694,AF-31
A-7721,AF-31
A-4494,AF-31
A-12088,AF-31
A-195,AF-31
A-9915,AF-31
A-12427,AF-31
A-13348,AF-31
A-8155,AF-31
A-8858,AF-31
A-4289,AF-31
A-7205,AF-31
A-1610,AF-31
A-2851,AF-31
A-6801,AF-31
A-6763,AF-31
A-15646,AF-31
A-15143,AF-31
A-2782,AF-31
A-10992,AF-31
A-11553,AF-31
A-5875,AF-31
A-1049,AF-31
A-4519,AF-32
A-12382,AF-32
A-14446,AF-32
A-5275,AF-32
A-2170,AF-32
A-9652,AF-32
A-9463,AF-32
A-1151,AF-32
A-7947,AF-32
A-9908,AF-32
A-2755,AF-32
A-11105,AF-32
A-9432,AF-32
A-8150,AF-32
A-10842,AF-32
A-9390,AF-32
A-14106,AF-32
A-9970,AF-32
A-15852,AF-32
A-12414,AF-32
A-3901,AF-32
A-7735,AF-32
A-15144,AF-32
A-3429,AF-32
A-14365,AF-32
A-8274,AF-32
A-6417,AF-32
A-8224,AF-32
A-6191,AF-32
A-2346,AF-33
A-2408,AF-33
A-14832,AF-34
A-12447,AF-34
A-14378,AF-34
A-9402,AF-34
A-9172,AF-34
A-1019,AF-34
A-3046,AF-34
A-12476,AF-34
A-17694,AF-34
A-3263,AF-34
A-5013,AF-34
A-7616,AF-34
A-443,AF-34
A-208,AF-34
A-2598,AF-34
A-7621,AF-34
A-183,AF-34
A-760,AF-34
A-207,AF-34
A-11217,AF-34
A-16884,AF-34
A-4214,AF-34
A-11203,AF-34
A-7375,AF-34
A-7155,AF-34
A-9434,AF-34
A-17950,AF-34
A-6578,AF-34
A-9768,AF-34
A-16372,AF-34
A-9765,AF-34
A-11400,AF-34
A-12422,AF-34
A-13595,AF-34
A-15327,AF-34
A-16338,AF-34
A-2436,AF-34
A-14390,AF-34
A-10082,AF-34
A-10288,AF-34
A-3742,AF-34
A-18316,AF-34
A-13627,AF-34
A-10259,AF-34
A-8557,AF-34
A-5210,AF-34
A-13221,AF-34
A-341,AF-35
A-7054,AF-35
A-9752,AF-35
A-8380,AF-35
A-314,AF-35
A-6280,AF-35
A-2169,AF-35
A-341,AF-36
A-7054,AF-36
A-8380,AF-36
A-5634,AF-37
A-12310,AF-37
A-9312,AF-37
A-17016,AF-37
A-495,AF-37
A-1407,AF-38
A-6809,AF-38
A-14378,AF-38
A-11020,AF-38
A-2883,AF-38
A-12094,AF-38
A-16020,AF-38
A-11144,AF-38
A-17367,AF-38
A-7786,AF-38
A-114,AF-38
A-14454,AF-38
A-1360,AF-38
A-7493,AF-38
A-2040,AF-38
A-11111,AF-38
A-14896,AF-38
A-12837,AF-38
A-5032,AF-38
A-8482,AF-38
A-866,AF-38
A-10769,AF-38
A-7330,AF-38
A-4146,AF-38
A-17247,AF-38
A-18152,AF-38
A-16028,AF-38
A-3799,AF-38
A-17062,AF-38
A-8598,AF-38
A-17729,AF-38
A-17525,AF-38
A-4025,AF-38
A-3040,AF-38
A-14767,AF-38
A-8516,AF-38
A-18298,AF-38
A-7444,AF-38
A-16021,AF-38
A-13472,AF-38
A-2383,AF-38
A-9815,AF-38
A-8829,AF-38
A-2805,AF-38
A-1340,AF-38
A-8071,AF-38
A-12899,AF-38
A-16066,AF-38
A-14973,AF-38
A-5752,AF-38
A-370,AF-38
A-1103,AF-38
A-2614,AF-38
A-7594,AF-38
A-11568,AF-38
A-11363,AF-38
A-3804,AF-38
A-17557,AF-38
A-18575,AF-38
A-13755,AF-38
A-11352,AF-38
A-1097,AF-38
A-5521,AF-39
A-11772,AF-39
A-12943,AF-39
A-16449,AF-39
A-18389,AF-39
A-10750,AF-39
A-6778,AF-40
A-4126,AF-40
A-1331,AF-40
A-7051,AF-41
A-11747,AF-41
A-11950,AF-41
A-7051,AF-42
A-11747,AF-42
A-2140,AF-42
A-17609,AF-42
