AuthID,FieldID
A-0,F-12
A-1,F-3
A-10,F-12
A-100,F-6
A-1000,F-4
A-10000,F-4
A-10001,F-2
A-10002,F-12
A-10003,F-2
A-10004,F-0
A-10004,F-2
A-10005,F-13
A-10006,F-11
A-10007,F-6
A-10008,F-9
A-10009,F-2
A-1001,F-13
A-10010,F-12
A-10011,F-12
A-10012,F-2
A-10012,F-8
A-10013,F-0
A-10014,F-1
A-10015,F-5
A-10016,F-7
A-10017,F-13
A-10018,F-8
A-10019,F-2
A-1002,F-2
A-10020,F-2
A-10020,F-7
A-10021,F-10
A-10022,F-7
A-10023,F-9
A-10024,F-6
A-10024,F-13
A-10026,F-14
A-10027,F-14
A-10028,F-1
A-10029,F-6
A-1003,F-13
A-10030,F-1
A-10031,F-6
A-10031,F-12
A-10032,F-2
A-10033,F-10
A-10034,F-5
A-10035,F-2
A-10036,F-10
A-10037,F-10
A-10038,F-5
A-10040,F-2
A-10041,F-10
A-10042,F-0
A-10043,F-6
A-10044,F-1
A-10045,F-6
A-10045,F-12
A-10046,F-2
A-10047,F-1
A-10048,F-14
A-10049,F-14
A-1005,F-14
A-10050,F-11
A-10051,F-8
A-10052,F-2
A-10052,F-4
A-10053,F-0
A-10054,F-2
A-10055,F-5
A-10056,F-12
A-10057,F-8
A-10058,F-7
A-10059,F-13
A-1006,F-12
A-10060,F-13
A-10061,F-0
A-10063,F-0
A-10064,F-5
A-10065,F-8
A-10066,F-6
A-10067,F-3
A-10068,F-9
A-10069,F-8
A-1007,F-4
A-10070,F-2
A-10071,F-13
A-10072,F-2
A-10073,F-8
A-10074,F-6
A-10075,F-14
A-10076,F-9
A-10077,F-5
A-10079,F-6
A-10079,F-12
A-1008,F-2
A-10080,F-0
A-10081,F-6
A-10082,F-2
A-10083,F-14
A-10084,F-3
A-10085,F-6
A-10086,F-8
A-10087,F-5
A-10088,F-9
A-1009,F-2
A-10090,F-5
A-10091,F-3
A-10091,F-5
A-10092,F-4
A-10093,F-12
A-10093,F-13
A-10094,F-2
A-10096,F-3
A-10097,F-7
A-10099,F-8
A-101,F-11
A-1010,F-2
A-10100,F-7
A-10101,F-14
A-10102,F-2
A-10103,F-2
A-10104,F-11
A-10105,F-8
A-10106,F-7
A-10107,F-0
A-10108,F-7
A-10109,F-10
A-10109,F-14
A-1011,F-1
A-10110,F-14
A-10111,F-14
A-10112,F-5
A-10113,F-4
A-10114,F-2
A-10115,F-4
A-10116,F-14
A-10117,F-0
A-10118,F-0
A-10118,F-11
A-10119,F-7
A-1012,F-6
A-10120,F-12
A-10121,F-3
