Name,AuthID
Raghallaigh Brian,A-19148
"xavar, Damir",A-123
"xinh, Quang ThxEAFng",A-11146
"xlknur, Pehlivan",A-15113
"xazinacuteski, Marek",A-11129
"xDabokrtskyacute, ZdenxBk",A-18330
"Aacutelvez, Javier",A-9168
"Aringfracorga Dulmin, Maja",A-4833
"AringnbspariAumla, Frane",A-18668
"AtildeaAtildeparaltekin, AtildeaaAumlA,rAumlplusmn",A-16650
"Ccaronescaronka, Pavel",A-2469
"Ccedilobanoglu, Onur",A-961
"Oacute Seacuteaghdha, Diarmuid",A-13778
"Oslashvrelid, Lilja",A-16921
"Otildeim, Haldur",A-10514
"Oumlgel Balaban, Hale",A-15807
"Oumlzertem, Umut",A-12156
"Oumlzguumlr, Arzucan",A-8682
"Sacuteledzinacuteski, Daniel",A-10154
"Scaronkodovaacute, Svatava",A-13297
"Scaronmerk, Pavel",A-7171
"Scaronnajder, Jan",A-17389
"Scarontepaacutenek, Jan",A-11110
"Scarontindlovaacute, Barbora",A-13496
"Scaronvec, Jan",A-5725
"Scediltefxnescu, Dan",A-17110
", Budiono",A-16389
", Daumeacute",A-18285
", IsoQuest Inc",A-10756
", Mausam",A-15103
", QuocHungNgo",A-1113
", Revzin",A-1423
", SRA International",A-18780
", Stanley",A-18010
", Suryaganesh",A-18567
", TIPSTER SECM",A-17417
", The Annotation Group",A-16709
", The LOLITA Group",A-2390
", The PLUM Research Group",A-5211
", XuxEAn LxBxAng Vx",A-16482
", lemao",A-18742
A,A-19125
A R,A-18803
"A R, Balamurali",A-9958
"AIAdhaileh, Mosleh Hmoud",A-6893
"AL Saud, Lama",A-1186
"ASBAYOU, Omar",A-683
"Aabloo, Alvo",A-89
Aacutengel,A-18935
"Aakhus, Mark",A-1298
"Aamot, Elias",A-3088
"Aarseth, Paul",A-10447
"Aarts, Erik",A-4519
"Abad, Alberto",A-9195
"Abaitua, Joseba",A-2346
"Abascal, Julio G",A-16298
"Abate, Solomon Teferra",A-14832
"Abb, Bernd",A-12447
"Abbas, Qaiser",A-5659
"Abbes, Ramzi",A-341
"Abbott, Rob",A-15622
"Abd ElWahab, Mohamed",A-4518
"Abdalla, Rashid M",A-6683
"AbdelRahman, Samir",A-5634
"Abdelali, Ahmed",A-1407
"Abdelnasser, Heba",A-16219
"Abdul Hamid, Ahmed",A-3079
"Abdul Kadir, Rabiah",A-16793
