ConfID,FieldID
C-0,F-2
C-1,F-2
C-10,F-4
C-100,F-10
C-101,F-10
C-102,F-10
C-103,F-12
C-104,F-12
C-105,F-12
C-106,F-10
C-107,F-12
C-108,F-10
C-109,F-10
C-11,F-12
C-110,F-2
C-111,F-8
C-112,F-10
C-113,F-2
C-114,F-14
C-115,F-6
C-116,F-4
C-117,F-10
C-118,F-10
C-119,F-6
C-12,F-14
C-120,F-7
C-121,F-10
C-122,F-12
C-123,F-2
C-124,F-3
C-125,F-2
C-126,F-12
C-127,F-12
C-128,F-2
C-129,F-2
C-13,F-12
C-13,F-14
C-130,F-2
C-131,F-10
C-132,F-2
C-133,F-6
C-134,F-9
C-135,F-12
C-136,F-4
C-137,F-12
C-138,F-12
C-139,F-14
C-14,F-10
C-140,F-4
C-141,F-12
C-142,F-12
C-143,F-2
C-144,F-2
C-145,F-4
C-146,F-5
C-147,F-14
C-148,F-2
C-149,F-4
C-15,F-12
C-150,F-2
C-151,F-12
C-152,F-2
C-153,F-2
C-154,F-2
C-155,F-2
C-156,F-2
C-157,F-12
C-158,F-14
C-159,F-2
C-16,F-12
C-160,F-2
C-161,F-2
C-162,F-2
C-163,F-2
C-164,F-2
C-165,F-2
C-166,F-2
C-167,F-2
C-168,F-2
C-169,F-2
C-17,F-2
C-170,F-2
C-171,F-2
C-172,F-12
C-173,F-12
C-174,F-6
C-175,F-6
C-176,F-12
C-177,F-12
C-178,F-12
C-179,F-12
C-18,F-7
C-180,F-12
C-181,F-8
C-182,F-6
C-183,F-6
C-184,F-0
C-185,F-0
C-186,F-2
C-187,F-7
C-188,F-7
C-189,F-7
C-19,F-10
C-190,F-2
C-191,F-2
C-192,F-2
C-193,F-2
C-194,F-2
C-195,F-2
C-196,F-2
C-197,F-2
C-198,F-2
C-199,F-1
C-2,F-12
C-20,F-12
C-200,F-1
C-201,F-12
C-202,F-2
C-203,F-12
C-204,F-2
C-205,F-8
C-206,F-1
C-207,F-7
C-208,F-2
C-209,F-12
C-21,F-12
C-210,F-9
C-211,F-5
C-212,F-7
C-213,F-1
C-214,F-9
C-215,F-13
C-216,F-5
C-217,F-14
C-218,F-9
C-219,F-8
C-22,F-8
C-220,F-12
C-221,F-14
C-222,F-4
C-223,F-6
C-224,F-6
C-225,F-6
C-226,F-5
C-227,F-7
C-228,F-7
C-229,F-12
C-23,F-10
C-230,F-8
C-231,F-10
C-232,F-10
C-233,F-10
C-234,F-10
C-235,F-10
C-236,F-10
C-237,F-10
C-238,F-10
C-239,F-10
C-24,F-10
C-240,F-4
C-241,F-3
C-242,F-2
C-243,F-2
C-244,F-2
C-245,F-2
C-246,F-2
C-247,F-7
C-248,F-2
C-249,F-5
C-25,F-10
C-250,F-12
C-251,F-12
C-252,F-3
C-253,F-2
C-254,F-9
C-255,F-4
C-256,F-2
C-257,F-2
C-258,F-5
C-259,F-2
C-26,F-10
C-260,F-14
C-261,F-10
C-262,F-10
C-263,F-9
C-264,F-9
C-265,F-6
C-266,F-10
C-267,F-5
C-268,F-1
C-269,F-6
C-27,F-10
C-270,F-1
C-271,F-9
C-272,F-13
C-273,F-2
C-274,F-6
C-275,F-7
C-276,F-4
C-277,F-11
C-278,F-5
C-279,F-14
C-28,F-12
C-280,F-1
C-281,F-10
C-282,F-1
C-283,F-10
C-284,F-3
C-285,F-0
C-286,F-4
C-287,F-3
C-288,F-2
C-289,F-3
C-29,F-5
C-290,F-7
C-291,F-8
C-292,F-14
C-293,F-2
C-294,F-4
C-295,F-6
C-296,F-6
C-297,F-13
C-298,F-8
C-299,F-8
C-3,F-10
C-30,F-4
C-300,F-8
C-301,F-8
C-302,F-14
C-303,F-7
C-304,F-14
C-305,F-11
C-306,F-8
C-307,F-12
C-308,F-14
C-309,F-7
C-31,F-2
C-310,F-7
C-311,F-14
C-312,F-2
C-313,F-1
C-314,F-6
C-315,F-10
C-316,F-2
C-317,F-6
C-318,F-1
C-319,F-11
C-32,F-2
C-320,F-2
C-321,F-8
C-322,F-7
C-323,F-7
C-324,F-12
C-325,F-12
C-326,F-8
C-327,F-6
C-328,F-4
C-329,F-8
C-33,F-2
C-330,F-9
C-331,F-1
C-332,F-11
C-333,F-2
C-334,F-13
C-335,F-12
C-336,F-6
C-337,F-7
C-338,F-5
C-339,F-9
C-34,F-2
C-340,F-10
C-341,F-6
C-342,F-2
C-343,F-2
C-344,F-4
C-345,F-11
C-346,F-12
C-347,F-2
C-348,F-12
C-349,F-2
C-35,F-2
C-350,F-8
C-351,F-13
C-352,F-6
C-353,F-13
C-354,F-13
C-355,F-13
C-356,F-13
C-357,F-13
C-358,F-13
C-359,F-8
C-36,F-2
C-360,F-6
C-361,F-4
C-362,F-6
C-363,F-11
C-364,F-8
C-365,F-11
C-366,F-7
C-367,F-14
C-368,F-1
C-369,F-2
C-37,F-4
C-370,F-8
C-371,F-11
C-372,F-12
C-373,F-5
C-374,F-9
C-375,F-8
C-376,F-2
C-377,F-12
C-378,F-9
C-379,F-14
C-38,F-2
C-380,F-1
C-381,F-2
C-382,F-6
C-383,F-14
C-384,F-4
C-385,F-9
C-386,F-5
C-387,F-0
C-388,F-8
C-389,F-3
C-39,F-4
C-390,F-5
C-391,F-2
C-392,F-13
C-393,F-8
C-394,F-3
C-395,F-2
C-396,F-1
C-397,F-8
C-398,F-8
C-399,F-13
C-4,F-10
C-40,F-4
C-400,F-12
C-401,F-10
C-402,F-7
C-403,F-9
C-404,F-11
C-405,F-0
C-406,F-14
C-407,F-7
C-408,F-7
C-409,F-7
C-41,F-2
C-410,F-5
C-411,F-13
C-412,F-2
C-413,F-2
C-414,F-2
C-415,F-8
C-416,F-7
C-417,F-13
C-418,F-6
C-419,F-0
C-42,F-12
C-420,F-2
C-421,F-14
C-422,F-4
C-423,F-12
C-424,F-8
C-425,F-10
C-426,F-13
C-427,F-4
C-428,F-10
C-429,F-10
C-43,F-4
C-430,F-4
C-431,F-14
C-432,F-1
C-433,F-6
C-434,F-9
C-435,F-12
C-436,F-2
C-437,F-4
C-438,F-4
C-439,F-5
C-44,F-12
C-440,F-1
C-441,F-10
C-442,F-2
C-443,F-9
C-444,F-8
C-445,F-6
C-446,F-4
C-447,F-9
C-448,F-1
C-449,F-4
C-45,F-12
C-450,F-11
C-451,F-12
C-452,F-4
C-453,F-14
C-454,F-14
C-455,F-1
C-456,F-12
C-457,F-2
C-458,F-7
C-459,F-8
C-46,F-12
C-460,F-4
C-461,F-4
C-462,F-11
C-463,F-1
C-464,F-10
C-465,F-10
C-466,F-7
C-467,F-2
C-468,F-10
C-469,F-11
C-47,F-4
C-470,F-12
C-471,F-1
C-472,F-2
C-473,F-5
C-474,F-4
C-475,F-7
C-476,F-12
C-477,F-13
C-478,F-14
C-479,F-4
C-48,F-12
C-480,F-8
C-481,F-1
C-482,F-2
C-483,F-7
C-484,F-0
C-485,F-0
C-486,F-2
C-487,F-2
C-488,F-8
C-489,F-12
C-49,F-12
C-490,F-14
C-491,F-14
C-492,F-6
C-493,F-9
C-494,F-8
C-495,F-7
C-496,F-13
C-497,F-5
C-498,F-14
C-499,F-10
C-5,F-4
C-50,F-4
C-500,F-1
C-501,F-8
C-502,F-7
C-503,F-5
C-504,F-2
C-505,F-4
C-506,F-7
C-507,F-8
C-508,F-12
C-509,F-2
C-51,F-12
C-510,F-2
C-511,F-12
C-512,F-8
C-513,F-11
C-514,F-3
C-515,F-3
C-516,F-13
C-517,F-10
C-518,F-2
C-519,F-14
C-52,F-7
C-520,F-0
C-521,F-4
C-522,F-12
C-523,F-7
C-524,F-8
C-525,F-8
C-526,F-2
C-527,F-8
C-528,F-3
C-529,F-13
C-53,F-14
C-530,F-12
C-531,F-14
C-532,F-8
C-533,F-4
C-534,F-13
C-535,F-12
C-536,F-8
C-537,F-13
C-538,F-9
C-539,F-12
C-54,F-10
C-540,F-10
C-541,F-0
C-542,F-5
C-543,F-14
C-544,F-7
C-545,F-5
C-546,F-12
C-547,F-12
C-548,F-1
C-549,F-2
C-55,F-12
C-550,F-11
C-551,F-6
C-552,F-13
C-553,F-5
C-554,F-13
C-555,F-4
C-556,F-11
C-557,F-5
C-558,F-1
C-559,F-12
C-56,F-12
C-560,F-2
C-561,F-1
C-562,F-3
C-563,F-1
C-564,F-3
C-565,F-6
C-566,F-13
C-567,F-7
C-568,F-8
C-569,F-0
C-57,F-10
C-570,F-5
C-571,F-11
C-572,F-10
C-573,F-12
C-574,F-8
C-575,F-8
C-576,F-8
C-577,F-5
C-578,F-5
C-579,F-5
C-58,F-12
C-580,F-14
C-581,F-6
C-582,F-5
C-583,F-5
C-584,F-5
C-585,F-7
C-586,F-7
C-587,F-14
C-588,F-14
C-589,F-14
C-59,F-12
C-590,F-3
C-591,F-4
C-592,F-13
C-593,F-13
C-594,F-14
C-595,F-3
C-596,F-10
C-597,F-10
C-598,F-12
C-599,F-13
C-6,F-2
C-60,F-8
C-600,F-10
C-601,F-11
C-602,F-4
C-603,F-5
C-604,F-2
C-605,F-0
C-606,F-11
C-607,F-1
C-608,F-11
C-609,F-12
C-61,F-2
C-610,F-10
C-611,F-10
C-612,F-10
C-613,F-10
C-614,F-10
C-615,F-10
C-616,F-10
C-617,F-3
C-618,F-2
C-619,F-14
C-62,F-1
C-620,F-11
C-621,F-7
C-622,F-7
C-623,F-7
C-624,F-7
C-625,F-7
C-626,F-7
C-627,F-10
C-628,F-8
C-629,F-8
C-63,F-4
C-630,F-13
C-631,F-12
C-632,F-0
C-633,F-2
C-634,F-5
C-635,F-5
C-636,F-8
C-637,F-5
C-638,F-2
C-639,F-10
C-64,F-1
C-640,F-11
C-641,F-4
C-642,F-2
C-643,F-11
C-644,F-3
C-645,F-12
C-646,F-3
C-647,F-5
C-648,F-9
C-649,F-5
C-65,F-2
C-650,F-12
C-651,F-8
C-652,F-11
C-653,F-13
C-654,F-3
C-655,F-7
C-656,F-1
C-657,F-2
C-657,F-7
C-658,F-13
C-659,F-14
C-66,F-2
C-660,F-0
C-661,F-8
C-662,F-9
C-663,F-2
C-664,F-8
C-665,F-0
C-666,F-7
C-667,F-6
C-668,F-1
C-669,F-1
C-67,F-2
C-670,F-2
C-68,F-2
C-69,F-2
C-7,F-4
C-70,F-4
C-71,F-4
C-72,F-4
C-73,F-4
C-74,F-12
C-75,F-2
C-76,F-12
C-77,F-10
C-78,F-10
C-79,F-10
C-8,F-2
C-80,F-12
C-81,F-12
C-82,F-10
C-83,F-10
C-84,F-8
C-85,F-12
C-86,F-14
C-87,F-12
C-88,F-10
C-89,F-8
C-9,F-2
C-90,F-12
C-91,F-8
C-92,F-2
C-93,F-8
C-94,F-2
C-95,F-2
C-96,F-12
C-97,F-10
C-98,F-12
C-99,F-10
