ConfID,PaperID
C-0,E03-1001
C-0,E03-1002
C-0,E03-1003
C-0,E03-1004
C-0,E03-1005
C-0,E03-1006
C-0,E03-1007
C-0,E03-1008
C-0,E03-1009
C-0,E03-1010
C-0,E03-1011
C-0,E03-1012
C-0,E03-1013
C-0,E03-1014
C-0,E03-1015
C-0,E03-1017
C-0,E03-1018
C-0,E03-1019
C-0,E03-1020
C-0,E03-1021
C-0,E03-1022
C-0,E03-1023
C-0,E03-1024
C-0,E03-1025
C-0,E03-1026
C-0,E03-1027
C-0,E03-1028
C-0,E03-1029
C-0,E03-1030
C-0,E03-1031
C-0,E03-1032
C-0,E03-1033
C-0,E03-1034
C-0,E03-1035
C-0,E03-1036
C-0,E03-1037
C-0,E03-1038
C-0,E03-1039
C-0,E03-1040
C-0,E03-1041
C-0,E03-1042
C-0,E03-1043
C-0,E03-1044
C-0,E03-1045
C-0,E03-1046
C-0,E03-1047
C-0,E03-1048
C-0,E03-1049
C-0,E03-1050
C-0,E03-1051
C-0,E03-1052
C-0,E03-1053
C-0,E03-1054
C-0,E03-1055
C-0,E03-1056
C-0,E03-1057
C-0,E03-1058
C-0,E03-1059
C-0,E03-1060
C-0,E03-1061
C-0,E03-1062
C-0,E03-1063
C-0,E03-1064
C-0,E03-1065
C-0,E03-1066
C-0,E03-1067
C-0,E03-1068
C-0,E03-1069
C-0,E03-1070
C-0,E03-1071
C-0,E03-1072
C-0,E03-1073
C-0,E03-1074
C-0,E03-1075
C-0,E03-1076
C-0,E03-1077
C-0,E03-1078
C-0,E03-1079
C-0,E03-1080
C-0,E03-1081
C-0,E03-1082
C-0,E03-1083
C-0,E03-1084
C-0,E03-1085
C-0,E03-1086
C-0,E03-1087
C-0,E03-1088
C-0,E03-2001
C-0,E03-2002
C-0,E03-2003
C-0,E03-2004
C-0,E03-2005
C-0,E03-2006
C-0,E03-2007
C-0,E03-2008
C-0,E03-2009
C-0,E03-2010
C-0,E03-2011
C-0,E03-2012
C-0,E03-2013
C-0,E03-2014
C-0,E03-2015
C-0,E03-2016
C-0,E03-2017
C-0,E03-3001
C-0,E03-3002
C-0,E03-3003
C-0,E03-3004
C-0,E03-3005
C-0,E03-3006
C-1,E06-1001
C-1,E06-1002
C-1,E06-1003
C-1,E06-1004
C-1,E06-1005
C-1,E06-1006
C-1,E06-1007
C-1,E06-1008
C-1,E06-1009
C-1,E06-1010
C-1,E06-1011
C-1,E06-1012
C-1,E06-1013
C-1,E06-1014
C-1,E06-1015
C-1,E06-1016
C-1,E06-1017
C-1,E06-1018
C-1,E06-1019
C-1,E06-1020
C-1,E06-1021
C-1,E06-1022
C-1,E06-1023
C-1,E06-1024
C-1,E06-1025
C-1,E06-1026
