Venue,Year,ConfID
EACL,2003,C-0
EACL,2006,C-1
EACL,2009,C-2
EACL,2012,C-3
EACL,2014,C-4
EACL,1983,C-5
EACL,1985,C-6
EACL,1987,C-7
EACL,1989,C-8
EACL,1991,C-9
EACL,1993,C-10
EACL,1995,C-11
EACL,1999,C-12
EACL,2004,C-13
ACL,2000,C-14
ACL,2001,C-15
ACL,2002,C-16
ACL,2003,C-17
ACL,2004,C-18
ACL,2005,C-19
ACL,2006,C-20
ACL,2007,C-21
ACL,2008,C-22
ACL,2009,C-23
ACL,2010,C-24
ACL,2011,C-25
ACL,2012,C-26
ACL,2013,C-27
ACL,2014,C-28
ACL,2015,C-29
ACL,2016,C-30
ACL,1979,C-31
ACL,1980,C-32
ACL,1981,C-33
ACL,1982,C-34
ACL,1983,C-35
ACL,1984,C-36
ACL,1985,C-37
ACL,1986,C-38
ACL,1987,C-39
ACL,1988,C-40
ACL,1989,C-41
ACL,1990,C-42
ACL,1991,C-43
ACL,1992,C-44
ACL,1993,C-45
ACL,1994,C-46
ACL,1995,C-47
ACL,1996,C-48
ACL,1997,C-49
ACL,1998,C-50
ACL,1999,C-51
IJCNLP,2005,C-52
IJCNLP,2008,C-53
IJCNLP,2009,C-54
COLING,2000,C-55
COLING,2002,C-56
COLING,2004,C-57
COLING,2008,C-58
COLING,2010,C-59
COLING,2014,C-60
COLING,1965,C-61
COLING,1967,C-62
COLING,1969,C-63
COLING,1973,C-64
COLING,1980,C-65
COLING,1982,C-66
COLING,1986,C-67
COLING,1988,C-68
COLING,1990,C-69
COLING,1992,C-70
COLING,1994,C-71
COLING,1996,C-72
COLING,1998,C-73
COLING,2006,C-74
COLING,1984,C-75
EMNLP,2007,C-76
EMNLP,2008,C-77
EMNLP,2009,C-78
EMNLP,2010,C-79
EMNLP,2011,C-80
EMNLP,2012,C-81
EMNLP,2013,C-82
EMNLP,2014,C-83
EMNLP,2005,C-84
EMNLP,2001,C-85
EMNLP,2002,C-86
EMNLP,2003,C-87
EMNLP,2004,C-88
EMNLP,2006,C-89
EMNLP,1996,C-90
EMNLP,1997,C-91
HLT,2001,C-92
HLT,2005,C-93
HLT,1993,C-94
HLT,1994,C-95
HLT,2003,C-96
HLT,2004,C-97
HLT,2006,C-98
HLT,2007,C-99
HLT,2009,C-100
HLT,2010,C-101
HLT,2011,C-102
NAACL,2000,C-103
NAACL,2001,C-104
NAACL,2003,C-105
NAACL,2004,C-106
NAACL,2006,C-107
NAACL,2007,C-108
NAACL,2009,C-109
NAACL,2010,C-110
NAACL,2012,C-111
NAACL,2013,C-112
LREC,2008,C-113
CL,2000,C-114
CL,2001,C-115
CL,2002,C-116
CL,2003,C-117
CL,2004,C-118
CL,2005,C-119
CL,2006,C-120
CL,2007,C-121
CL,2008,C-122
CL,2009,C-123
CL,2010,C-124
CL,2011,C-125
CL,2012,C-126
CL,2013,C-127
CL,2014,C-128
CL,1979,C-129
CL,1984,C-130
CL,1985,C-131
CL,1986,C-132
CL,1987,C-133
CL,1988,C-134
CL,1989,C-135
CL,1990,C-136
CL,1991,C-137
CL,1992,C-138
CL,1993,C-139
CL,1994,C-140
CL,1995,C-141
CL,1996,C-142
CL,1997,C-143
CL,1998,C-144
CL,1999,C-145
SIGMORPHON,2006,C-146
SIGMORPHON,2007,C-147
TINLP,1975,C-148
TINLP,1978,C-149
TINLP,1987,C-150
ANLP,2000,C-151
ANLP,1983,C-152
ANLP,1988,C-153
ANLP,1992,C-154
ANLP,1994,C-155
ANLP,1997,C-156
IWPT,2009,C-157
VLC,1995,C-158
SIGDIAL,2008,C-159
SIGDIAL,2000,C-160
SIGDIAL,2001,C-161
SIGDIAL,2002,C-162
SIGDIAL,2003,C-163
SIGDIAL,2004,C-164
SIGDIAL,2006,C-165
SIGDIAL,2009,C-166
SIGDIAL,2010,C-167
SIGDIAL,2011,C-168
SIGDIAL,2012,C-169
SIGDIAL,2013,C-170
SIGDIAL,2014,C-171
