KeywordID,PaperID
K-0,W11-2130
K-1,D16-1104
K-1,E91-1032
K-1,P03-1035
K-1,P16-1157
K-1,S13-2105
K-1,T75-2017
K-1,W00-0601
K-1,W07-1407
K-2,C04-1152
K-2,D10-1029
K-2,D11-1112
K-2,N07-1062
K-2,P07-1114
K-2,P97-1073
K-2,P98-2157
K-2,W04-0305
K-2,W08-1139
K-3,A00-1030
K-3,D13-1080
K-3,P80-1024
K-3,T75-2004
K-4,W11-0711
K-5,N07-2055
K-6,E95-1017
K-7,D14-1223
K-7,H01-1055
K-7,H05-1029
K-7,N03-4003
K-7,P04-1009
K-7,P05-2011
K-7,P08-1072
K-7,P08-4001
K-7,P08-5002
K-7,P13-1164
K-7,W02-0209
K-7,W03-0703
K-7,W03-0811
K-7,W08-0128
K-7,W08-1503
K-7,W09-3926
K-7,W09-3933
K-7,W10-4348
K-7,W12-1801
K-7,W12-1802
K-7,W12-1811
K-7,W12-1818
K-7,W14-0201
K-7,W98-0802
K-8,D08-1105
K-8,P11-1148
K-8,P14-1025
K-8,S13-2040
K-8,W02-0805
K-8,W04-0803
K-8,W07-2006
K-8,W07-2088
K-8,W11-0409
K-8,W13-5003
K-9,C10-2110
K-9,D11-1011
K-9,D13-1039
K-9,N03-2007
K-9,N15-1037
K-9,P11-1161
K-9,W98-0706
K-10,C00-1048
K-10,C73-1030
K-10,D10-1124
K-10,I08-3018
K-10,I08-7014
K-10,P04-1068
K-10,P16-2037
K-11,X96-1005
K-12,D07-1021
K-12,P15-1086
K-13,C10-1119
K-13,D09-1067
K-13,D11-1095
K-13,P03-1009
K-13,P08-1057
K-13,S12-1015
K-14,D12-1102
K-14,P10-2035
K-14,W10-1724
K-15,A00-1026
K-15,E99-1043
K-15,N07-2041
K-15,P06-4005
K-15,W02-0302
K-15,W02-0308
K-15,W02-1706
K-15,W03-1306
K-15,W04-1207
K-15,W06-3315
K-15,W07-1016
K-15,W08-0612
K-15,W09-1320
K-15,W11-0224
K-16,E09-1079
K-16,J13-1005
K-17,A00-1011
