Question [Natural],SQL
List all the papers IDs,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID;
List all the authors IDs,SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID;
List all the papers which are written by author of authorID '$AuthID$'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
What are the papers written by '$AuthID$'?,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
How many papers are written by Author ID '$AuthID$'?,SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
List all the authors who contributed to paper '$PaperID$',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
How many authors contributed to paper '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
List all the authors for '$PaperID$',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
What is the number of Authors of Paper ID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
List all the papers with FieldID '$FieldID$',SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
What are the papers associated with FieldID '$FieldID$' ?,SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
Count all the papers associated with FieldID '$FieldID$'.,SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
List all the Field IDs.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID;
List all the Field IDs associated with paperID '$PaperID$'.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
What are the Fields associated with paperID '$PaperID$'?,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
Count the number of Fields associated with paperID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
List all the summaries of all the papers ,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary;
what is the summary of paper with paperID '$PaperID$' ?,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='$PaperID$';
Print summary of paper ID '$PaperID$',SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='$PaperID$';
List titles of all the papers,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title;
List titles of all the papers with corresponding paperID,"SELECT DISTINCT PaperID_Title.PaperID,PaperID_Title.Title FROM PaperID_Title;"
