PaperID,AuthID
E03-1001,A-14888
E03-1002,A-14615
E03-1003,A-479
E03-1003,A-17911
E03-1004,A-14437
E03-1004,A-2583
E03-1004,A-6579
E03-1005,A-13473
E03-1006,A-18100
E03-1006,A-18478
E03-1006,A-1492
E03-1006,A-7111
E03-1007,A-11841
E03-1007,A-16807
E03-1008,A-587
E03-1008,A-17077
E03-1008,A-17865
E03-1008,A-2801
E03-1008,A-12764
E03-1008,A-6650
E03-1008,A-13202
E03-1008,A-7816
E03-1008,A-6584
E03-1009,A-15145
E03-1010,A-5743
E03-1010,A-2688
E03-1010,A-7494
E03-1010,A-2191
E03-1010,A-11755
E03-1011,A-16549
E03-1011,A-356
E03-1011,A-17528
E03-1011,A-13755
E03-1012,A-2489
E03-1012,A-17256
E03-1012,A-16375
E03-1012,A-14972
E03-1012,A-4915
E03-1012,A-14063
E03-1012,A-1163
E03-1013,A-12890
E03-1013,A-18280
E03-1013,A-8577
E03-1014,A-18330
E03-1014,A-4111
E03-1015,A-9595
E03-1017,A-760
E03-1018,A-14572
E03-1018,A-145
E03-1019,A-57
E03-1020,A-14799
E03-1020,A-10337
E03-1021,A-16523
E03-1021,A-16307
E03-1021,A-3244
E03-1021,A-592
E03-1022,A-2144
E03-1022,A-13829
E03-1022,A-1608
E03-1023,A-13903
E03-1023,A-17284
E03-1023,A-10384
E03-1023,A-3077
E03-1023,A-5452
E03-1024,A-7194
E03-1024,A-5841
E03-1024,A-14841
E03-1025,A-8815
E03-1026,A-7546
E03-1027,A-8447
E03-1027,A-5841
E03-1028,A-16672
E03-1029,A-7871
E03-1029,A-15389
E03-1029,A-6484
E03-1030,A-13262
E03-1030,A-14103
E03-1031,A-10738
E03-1032,A-6738
E03-1032,A-12017
E03-1032,A-16807
E03-1033,A-1151
E03-1034,A-14754
E03-1034,A-11773
E03-1035,A-1269
E03-1036,A-11504
E03-1036,A-16569
E03-1037,A-13310
E03-1038,A-4600
E03-1038,A-18642
E03-1038,A-6455
E03-1039,A-16672
E03-1039,A-5441
E03-1040,A-3525
E03-1040,A-17300
E03-1041,A-5631
E03-1042,A-14449
E03-1042,A-10742
E03-1042,A-15304
E03-1043,A-4214
E03-1043,A-4299
E03-1044,A-5816
E03-1045,A-17914
E03-1046,A-13388
E03-1046,A-8999
E03-1047,A-1538
E03-1047,A-17321
E03-1047,A-13207
E03-1048,A-15389
E03-1048,A-16800
E03-1048,A-6033
E03-1048,A-6330
E03-1048,A-7871
E03-1048,A-2859
E03-1048,A-4226
E03-1048,A-5893
E03-1049,A-17809
E03-1050,A-4155
E03-1051,A-18646
E03-1051,A-17293
E03-1051,A-11150
E03-1051,A-15084
E03-1052,A-1019
E03-1052,A-12476
E03-1052,A-6578
E03-1053,A-15238
E03-1053,A-6639
E03-1053,A-8944
E03-1053,A-18089
E03-1054,A-11504
E03-1054,A-11880
E03-1055,A-15971
E03-1055,A-5717
E03-1055,A-12017
E03-1055,A-16807
E03-1056,A-1539
E03-1056,A-1484
E03-1056,A-8860
E03-1056,A-835
E03-1056,A-16846
E03-1056,A-2970
E03-1057,A-6780
E03-1057,A-17149
E03-1057,A-14346
E03-1057,A-12861
E03-1058,A-18209
E03-1058,A-5136
E03-1058,A-11842
E03-1059,A-9221
E03-1060,A-12024
E03-1060,A-16694
E03-1061,A-18550
E03-1061,A-11916
E03-1061,A-8863
E03-1062,A-57
E03-1063,A-1249
E03-1064,A-16486
E03-1064,A-9404
E03-1064,A-11195
E03-1064,A-5423
E03-1064,A-12200
E03-1065,A-13457
E03-1065,A-7362
E03-1065,A-13755
E03-1066,A-16486
E03-1066,A-16099
E03-1066,A-17000
E03-1067,A-3406
E03-1067,A-11655
E03-1067,A-8453
E03-1067,A-18629
E03-1068,A-15023
E03-1068,A-8449
E03-1069,A-7096
E03-1069,A-17700
E03-1069,A-10742
E03-1070,A-8684
E03-1070,A-16962
E03-1071,A-5793
E03-1071,A-2801
E03-1072,A-9385
E03-1072,A-9202
E03-1072,A-17204
E03-1073,A-11773
E03-1073,A-11096
E03-1074,A-2748
E03-1075,A-14522
E03-1075,A-6090
E03-1075,A-3761
E03-1075,A-7935
E03-1075,A-15335
E03-1075,A-3480
E03-1075,A-655
E03-1075,A-11749
E03-1076,A-15036
E03-1076,A-9849
E03-1077,A-7005
E03-1077,A-14431
E03-1077,A-14428
E03-1077,A-11978
E03-1078,A-14035
E03-1078,A-14522
E03-1079,A-144
E03-1080,A-16324
E03-1080,A-315
E03-1081,A-13950
E03-1081,A-6823
E03-1082,A-9595
E03-1083,A-13829
