,Natural,SQL
0,List all the papers which are written by author of authorID A-2911.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2911'
1,List all the papers which are written by author of authorID A-6955.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6955'
2,List all the papers which are written by author of authorID A-12424.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12424'
3,List all the papers which are written by author of authorID A-13017.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-13017'
4,List all the papers which are written by author of authorID A-2979.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2979'
5,List all the papers which are written by author of authorID A-7342.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7342'
6,List all the papers which are written by author of authorID A-11612.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11612'
7,List all the papers which are written by author of authorID A-11044.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11044'
8,List all the papers which are written by author of authorID A-15447.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15447'
9,List all the papers which are written by author of authorID A-15462.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15462'
10,List all the papers which are written by author of authorID A-15712.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15712'
11,List all the papers which are written by author of authorID A-18697.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-18697'
12,List all the papers which are written by author of authorID A-12498.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12498'
13,List all the papers which are written by author of authorID A-10706.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10706'
14,List all the papers which are written by author of authorID A-3470.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3470'
15,List all the papers which are written by author of authorID A-7537.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7537'
16,List all the papers which are written by author of authorID A-12813.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12813'
17,List all the papers which are written by author of authorID A-6755.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6755'
