Question [Natural],SQL
List all the papers,SELECT PaperID FROM PaperID_AuthID
List all the authors,SELECT DISTINCT AuthID FROM PaperID_AuthID
List all the papers which are written by author of authorID $AuthID$.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = '$AuthID$'
What are the papers written by $AuthID$?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = '$AuthID$'
How many papers are written by $AuthID$?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = '$AuthID$'
List all the authors who contributed to paper $PaperID$,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
How many authors contributed to paper $PaperID$,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
List all the authors for $PaperID$,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
What is the number of Authors of $PaperID$,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= '$PaperID$' 
List all the papers with FieldID $FieldID$,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = '$FieldID$' 
What are the papers associated with FieldID $FieldID$ ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = '$FieldID$' 
Count all the papers associated with FieldID $FieldID$.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = '$FieldID$' 
List all the Field IDs.,"SELECT DISTINCT FieldID FROM PaperID_FieldID """
List all the Field IDs associated with paperID $PaperID$.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = '$PaperID$'
What are the Fields associated with paperID $PaperID$?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = '$PaperID$'
Count the numberFields associated with paperID $PaperID$,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = '$PaperID$'
List all the summaries of all the papers ,SELECT Summary from PaperID_Summary 
what is the summary of paper with paperID $PaperID$ ?,SELECT Summary from PaperID_Summary WHERE PaperID = '$PaperID$' 
Print summary of paper $PaperID$,SELECT Summary from PaperID_Summary WHERE PaperID = '$PaperID$' 
List titles of all the papers,SELECT Title FROM PaperID_Title 
List titles of all the papers with corresponding paperID,"SELECT PaperID,Title FROM PaperID_Title "
What is title of the paper with PaperID $PaperID$?,SELECT Title FROM PaperID_Title WHERE PaperID = '$PaperID$'
What is Paper ID of the paper with title $Title$?,SELECT PaperID FROM PaperID_Title WHERE Title = '$Title $'
List all the Paper IDs of the paper with title starting with $Title$^?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE '$Title$^%'
