,Natural,SQL
0,List all the papers IDs,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID;
1,List all the authors IDs,SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID;
2,List all the papers which are written by author of authorID 'A-957'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='A-957';
3,What are the papers written by 'A-7718'?,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='A-7718';
4,How many papers are written by Author ID 'A-13140'?,SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='A-13140';
5,List all the authors who contributed to paper 'P11-4020',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'P11-4020';
6,How many authors contributed to paper 'W01-1408',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'W01-1408';
7,List all the authors for 'E83-1005',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'E83-1005';
8,What is the number of Authors of Paper ID 'S13-2091',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= 'S13-2091';
9,List all the papers with FieldID 'F-10',SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='F-10';
10,What are the papers associated with FieldID 'F-0' ?,SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='F-0';
11,Count all the papers associated with FieldID 'F-2'.,SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='F-2';
12,List all the Field IDs.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID;
13,List all the Field IDs associated with paperID 'W98-1306'.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='W98-1306';
14,What are the Fields associated with paperID 'W03-0431'?,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='W03-0431';
15,Count the number of Fields associated with paperID 'W12-1602',SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='W12-1602';
16,List all the summaries of all the papers ,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary;
17,what is the summary of paper with paperID 'N12-1058' ?,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='N12-1058';
18,Print summary of paper ID 'J96-1004',SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='J96-1004';
19,List titles of all the papers,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title;
20,List titles of all the papers with corresponding paperID,"SELECT DISTINCT PaperID_Title.PaperID,PaperID_Title.Title FROM PaperID_Title;"
21,What is title of the paper with PaperID 'W06-0406'?,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title WHERE PaperID_Title.PaperID='W06-0406';
22,What is Paper ID of the paper with title 'Judging The Coherency Of Discourse'?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title='Judging The Coherency Of Discourse';
23,List all the Paper IDs of the paper with title starting with 'Segment Predictability As A Cue In Word Segmentation: Application To Modern Greek'^?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title LIKE 'Segment Predictability As A Cue In Word Segmentation: Application To Modern Greek^%';
24,List all the affliates located in Starkville MS,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Place LIKE '%Starkville MS%';
25,How many affliates are located in Toyohashi Japan,SELECT DISTINCT COUNT(*) FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Place LIKE '%Toyohashi Japan%;
26,List all the affliates that contain 'Freiburg University'-,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '%Freiburg University-%';
27,Count all the affliates that contain 'University of California at Berkeley'-,SELECT DISTINCT COUNT(*) FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '%University of California at Berkeley-%';
28,What is the name of affiliate with ID AF-887 and where it is located,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate,AffiliationID_Place_Affiliation.Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.AffiliationID='AF-887';"
29,Where is affiliate 'Plovdiv University' loacted?,SELECT DISTINCT AffiliationID_Place_Affiliation.Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE 'Plovdiv University;
30,List all authids with AF-1903,SELECT DISTINCT AuthID_AffiliationID.AuthID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='AF-1903';
31,Count all authids with AF-1140,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='AF-1140';
32,List the number of authors affiliated with each affiliate which have more than 154 authors.,"SELECT DISTINCT COUNT(*),AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID GROUP BY AuthID_AffiliationID.AffiliationID HAVING Count(*) > 154 ORDER BY COUNT(*) DESC;"
